Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
The paycheck,Yes,Creative,LinkedIn,Windows,Half full,Dolorean,Sedentary,A duck,Night worker
The paycheck,No,Pragmatic,Twitter,Linux,Half full,Dolorean,Sedentary,A duck,Day worker
The paycheck,Yes,Pragmatic,LinkedIn,Mac Os,Half full,K2000,Nomad,A duck,Day worker
The human side,Why not ?,Creative,Instagram,Paper and pencil,Half full,K2000,Nomad,A rabbit,Night worker
The human side,Why not ?,Creative,LinkedIn,Paper and pencil,Half full,Dolorean,Sedentary,A duck,Day worker
The paycheck,Why not ?,Pragmatic,Instagram,Linux,Half full,Dolorean,Nomad,A duck,Day worker
The human side,Yes,Organized,Facebook,Linux,Half full,K2000,Sedentary,A duck,Night worker
Specifications,Why not ?,Persistent,Instagram,Linux,Half full,Dolorean,Nomad,A rabbit,Day worker
The human side,Why not ?,Creative,LinkedIn,Linux,Half full,Dolorean,Nomad,A duck,Night worker
Specifications,Why not ?,Persistent,LinkedIn,Windows,Half full,K2000,Nomad,A duck,Night worker
The human side,Why not ?,Creative,Instagram,Linux,Half full,Dolorean,Nomad,A duck,Night worker
Specifications,Yes,Organized,Instagram,Linux,Half full,K2000,Sedentary,A duck,Day worker
The human side,Yes,Creative,Instagram,Mac Os,Half empty,K2000,Nomad,A duck,Day worker
Technologies,Yes,Persistent,Twitter,Linux,Half full,Dolorean,Nomad,A duck,Night worker
The paycheck,Yes,Persistent,Twitter,Mac Os,Half full,K2000,Sedentary,A duck,Day worker
Technologies,Yes,Pragmatic,LinkedIn,Mac Os,Half full,K2000,Nomad,A duck,Day worker